Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,HRpergame,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1998,30,1186,28.9,4.79,4864,188280,167116,23297,44489,8741,899,5064,1.041118421,22080,3284,1505,16447,31893,0.266,0.335,0.42,0.755,70220,3704,1587,1705,1402,1067
1997,28,1123,28.9,4.77,4532,175541,155438,21604,41471,8004,883,4640,1.023830538,20468,3308,1564,15666,29937,0.267,0.337,0.419,0.756,65161,3440,1449,1577,1383,1169
1996,28,1141,28.8,5.04,4534,177261,156801,22831,42320,7987,855,4962,1.094397883,21570,3239,1343,16093,29308,0.27,0.34,0.427,0.767,66903,3609,1404,1544,1400,1343
1995,28,1133,28.6,4.85,4034,156703,138571,19554,36975,6958,824,4081,1.011650967,18436,2933,1257,14240,25425,0.267,0.338,0.417,0.755,57824,3145,1219,1488,1173,1105
1994,28,991,28.7,4.92,3200,124483,110266,15752,29743,5723,702,3306,1.033125,14858,2258,1032,11131,19766,0.27,0.339,0.424,0.763,46788,2442,876,1207,992,1008
1993,28,1104,28.4,4.6,4538,174564,154995,20864,41088,7449,940,4030,0.888056413,19596,3263,1660,15110,26310,0.265,0.332,0.403,0.736,62507,3431,1200,1811,1430,1477
1992,26,1007,28.4,4.12,4212,160545,142895,17341,36544,6563,845,3038,0.721272555,16282,3264,1601,13682,23538,0.256,0.322,0.377,0.7,53911,3109,980,1665,1294,1315
1991,26,1034,28.5,4.31,4208,160746,142968,18127,36558,6499,894,3383,0.803944867,17048,3120,1567,13984,24390,0.256,0.323,0.385,0.708,54994,3021,905,1624,1249,1228
1990,26,1030,28.5,4.26,4210,160316,142768,17919,36817,6526,865,3317,0.787885986,16804,3290,1510,13852,23853,0.258,0.325,0.385,0.71,55024,3077,861,1559,1261,1384
1989,26,988,28.5,4.13,4212,160033,142821,17405,36293,6307,868,3083,0.731956315,16229,3116,1441,13528,23650,0.254,0.32,0.375,0.695,53585,3064,801,1626,1240,1446
1988,26,973,28.3,4.14,4200,159380,142568,17380,36244,6386,840,3180,0.757142857,16219,3301,1418,12984,23355,0.254,0.318,0.378,0.696,53850,3087,918,1630,1265,1367
1987,26,975,28.3,4.72,4210,161922,144095,19883,37895,6793,896,4458,1.058907363,18713,3585,1529,14389,25099,0.263,0.331,0.415,0.747,59854,3124,842,1455,1110,1287
1986,26,953,28.7,4.41,4206,160858,143106,18545,36880,6511,855,3813,0.906562054,17396,3312,1620,14227,24706,0.258,0.326,0.395,0.721,56540,3119,812,1515,1175,1289
1985,26,943,28.8,4.33,4206,160320,143075,18216,36778,6423,965,3602,0.856395625,17129,3097,1431,13838,22451,0.257,0.323,0.391,0.714,55937,3293,699,1549,1144,1337
1984,26,935,28.6,4.26,4210,160566,143829,17921,37381,6213,985,3258,0.773871734,16778,3032,1511,13320,22500,0.26,0.323,0.385,0.708,55338,3193,668,1435,1286,1270
1983,26,953,28.7,4.31,4218,160615,143538,18170,37443,6463,1033,3301,0.782598388,17067,3325,1619,13518,21716,0.261,0.325,0.389,0.714,55875,3296,717,1561,1256,1379
1982,26,932,28.7,4.3,4214,161104,144149,18110,37651,6316,964,3379,0.801850973,17019,3176,1617,13302,21221,0.261,0.324,0.389,0.713,56032,3147,677,1740,1221,1319
1981,26,907,28.5,4,2788,105892,94467,11147,24157,4000,659,1781,0.638809182,10451,2021,1100,8868,13237,0.256,0.32,0.369,0.689,34818,2208,464,1252,829,895
1980,26,916,28.2,4.29,4210,161210,144160,18053,38144,6345,1076,3087,0.733254157,16928,3294,1610,13190,20212,0.265,0.326,0.388,0.714,55902,3362,657,1883,1296,1435
1979,26,899,28,4.46,4198,160378,142792,18713,37911,6415,1066,3433,0.817770367,17558,2983,1598,13601,20035,0.265,0.33,0.397,0.727,56757,3326,754,1896,1314,1366
1978,26,904,27.7,4.1,4204,159192,141567,17251,36508,6186,1020,2956,0.703139867,16098,3004,1617,13566,20058,0.258,0.323,0.379,0.702,53602,3076,772,1986,1274,1338
1977,26,900,27.4,4.47,4206,161547,143975,18803,38037,6441,1170,3644,0.86638136,17596,3017,1779,13757,21722,0.264,0.329,0.401,0.73,57750,3139,791,1764,1231,1297
1976,24,818,27.6,3.99,3878,147598,131525,15492,33598,5240,966,2235,0.576328004,14363,3054,1544,12391,18745,0.255,0.32,0.361,0.681,47475,2910,684,1793,1183,1156
1975,24,844,27.4,4.21,3868,148621,131473,16295,33863,5443,887,2698,0.697518097,15153,2524,1369,13402,19280,0.258,0.327,0.374,0.701,49174,3014,761,1873,1087,1338
1974,24,861,27.4,4.12,3890,148855,132256,16046,33969,5206,847,2649,0.680976864,14858,2488,1383,12963,19495,0.257,0.324,0.369,0.693,48816,3083,774,1734,1104,1353
1973,24,821,27.6,4.21,3886,148794,132363,16376,34010,5224,790,3102,0.798250129,15254,2034,1213,13100,20358,0.257,0.325,0.379,0.704,50120,3129,755,1550,1009,1357
1972,24,824,27.5,3.69,3718,139968,124828,13706,30434,4652,746,2534,0.68154922,12750,1807,1105,11727,20718,0.244,0.311,0.354,0.664,44180,2797,751,1758,883,1378
1971,24,828,27.6,3.89,3876,146705,130544,15073,32547,4931,808,2863,0.738648091,14077,1765,1039,12536,20956,0.249,0.317,0.365,0.682,47683,3091,821,1802,987,1396
1970,24,849,27.6,4.34,3888,149332,132140,16880,33555,5235,927,3429,0.881944444,15762,1908,1078,13727,22374,0.254,0.326,0.385,0.711,50931,3023,825,1630,990,1464
1969,24,849,27.4,4.07,3892,148201,131287,15850,32581,4840,849,3119,0.801387461,14662,1850,1118,13429,22473,0.248,0.32,0.369,0.689,48476,2900,882,1669,914,1436
1968,20,676,27.6,3.42,3250,120827,108622,11109,25710,3869,697,1995,0.613846154,10308,1515,931,9156,19143,0.237,0.299,0.34,0.639,36958,2217,778,1507,753,1223
1967,20,718,27.3,3.77,3240,121848,109205,12210,26464,4082,792,2299,0.709567901,11264,1373,940,9665,19413,0.242,0.306,0.357,0.664,39027,2245,751,1480,738,1295
1966,20,714,27.3,3.99,3230,121692,109467,12900,27207,4120,820,2743,0.849226006,11998,1455,926,9331,18805,0.249,0.31,0.376,0.686,41196,2355,682,1455,742,1088
1965,20,702,27.3,3.99,3246,122765,109739,12946,26952,4199,787,2688,0.828096118,12011,1449,784,10036,19283,0.246,0.311,0.372,0.683,40789,2365,720,1488,766,1130
1964,20,700,27.4,4.04,3252,122997,110464,13124,27669,4270,760,2762,0.849323493,12233,1176,719,9621,19212,0.25,0.313,0.378,0.69,41745,2394,694,1462,739,1015
1963,20,695,27.6,3.95,3238,122361,109814,12780,27043,4098,791,2704,0.835083385,11903,1236,763,9591,18773,0.246,0.309,0.372,0.681,40835,2256,714,1448,769,933
1962,20,702,27.9,4.46,3242,124554,110688,14461,28521,4313,853,3001,0.925663171,13546,1348,701,10936,17567,0.258,0.326,0.393,0.719,43543,2487,709,1361,846,818
1961,18,620,28,4.53,2860,109571,97032,12942,25066,3975,754,2730,0.954545455,12061,1046,599,9897,14947,0.258,0.328,0.399,0.727,38739,2232,573,1305,761,732
1960,16,575,28.2,4.31,2472,94784,84014,10664,21434,3442,658,2128,0.860841424,9968,923,547,8384,12815,0.255,0.324,0.388,0.712,32576,1914,488,1193,692,729
1959,16,571,28.5,4.38,2476,94725,84294,10853,21636,3478,591,2250,0.908723748,10175,853,506,8184,12604,0.257,0.324,0.392,0.716,33046,1837,496,1127,616,707
1958,16,580,28.4,4.28,2470,94151,83827,10578,21621,3392,655,2240,0.906882591,9955,741,516,8127,12225,0.258,0.325,0.394,0.719,33043,2062,499,1046,644,679
1957,16,563,28.5,4.31,2470,95396,84906,10636,21865,3396,672,2202,0.891497976,10023,767,558,8167,11949,0.258,0.324,0.391,0.715,33211,1972,511,1115,687,740
1956,16,552,28.3,4.45,2478,95240,83856,11031,21653,3339,725,2294,0.92574657,10330,719,495,8997,11505,0.258,0.331,0.397,0.729,33324,1984,481,1253,644,783
1955,16,599,28.3,4.48,2468,95031,83590,11068,21610,3251,700,2224,0.901134522,10381,694,536,9044,10804,0.259,0.332,0.394,0.726,32933,1940,506,1187,698,722
1954,16,536,28.1,4.38,2474,95540,83936,10827,21908,3455,789,1937,0.782942603,10168,695,527,9032,10215,0.261,0.333,0.39,0.723,32752,1959,441,1332,795,
1953,16,534,28.4,4.61,2480,95423,84997,11426,22459,3593,745,2076,0.837096774,10713,668,520,8682,10213,0.264,0.336,0.397,0.733,33770,2029,487,1245,,
1952,16,556,28.5,4.18,2478,94829,84195,10349,21272,3388,677,1701,0.686440678,9671,771,628,8777,10380,0.253,0.327,0.37,0.696,31117,1966,482,1354,,
1951,16,543,28.7,4.55,2478,96017,85065,11268,22191,3582,716,1863,0.751815981,10524,866,604,9244,9335,0.261,0.336,0.386,0.722,32794,2146,449,1240,,
1950,16,530,28.3,4.85,2476,96477,84823,12013,22559,3714,793,2073,0.83723748,11269,650,231,9955,9554,0.266,0.346,0.402,0.748,34078,2226,436,1249,,
1949,16,532,28.5,4.61,2480,96207,84380,11425,22168,3602,761,1704,0.687096774,10642,730,299,10027,8951,0.263,0.344,0.384,0.728,32404,2132,375,1408,,
1948,16,542,28.5,4.58,2474,95819,84411,11327,22234,3686,834,1555,0.628536783,10589,812,288,9623,9016,0.263,0.341,0.382,0.723,32253,1931,342,1416,,
1947,16,544,29,4.36,2486,95385,84436,10827,22003,3568,804,1565,0.629525342,10110,760,333,9217,9157,0.261,0.336,0.377,0.713,31874,1938,317,1406,,
1946,16,633,29.2,4.01,2484,95091,84333,9953,21555,3579,783,1215,0.489130435,9205,884,340,8800,9698,0.256,0.328,0.36,0.688,30345,1861,316,1622,,
1945,16,547,29.7,4.18,2460,94804,84447,10286,21977,3497,728,1007,0.409349593,9500,980,373,8299,8045,0.26,0.329,0.355,0.684,29951,1710,361,1681,,
1944,16,548,29.3,4.17,2484,95664,85665,10351,22307,3653,808,1034,0.41626409,9579,920,339,7930,8186,0.26,0.326,0.358,0.684,30678,1851,349,1693,,
1943,16,519,28.6,3.91,2476,95109,84701,9687,21467,3467,757,905,0.365508885,8957,1010,449,8361,8544,0.253,0.323,0.344,0.667,29163,1879,327,1683,,
1942,16,512,27.9,4.08,2448,93962,83731,9995,21176,3477,723,1071,0.4375,9187,961,390,8393,8325,0.253,0.323,0.35,0.674,29312,1755,339,1473,,
1941,16,546,27.9,4.49,2488,96493,85854,11168,22531,3958,867,1331,0.534967846,10327,882,323,8886,8828,0.262,0.334,0.375,0.709,32216,1866,312,1432,,
1940,16,514,27.9,4.68,2472,95912,86003,11568,23002,4101,929,1571,0.635517799,10702,953,333,8273,9049,0.267,0.334,0.392,0.726,33674,1827,358,1266,,
1939,16,533,28.1,4.82,2462,95916,84879,11876,23371,4139,916,1445,0.586921202,11041,957,345,8478,8501,0.275,0.344,0.397,0.74,33677,1946,353,2192,,
1938,16,502,28.4,4.89,2446,95367,85013,11969,23293,4046,935,1475,0.603025348,11237,896,325,8632,8335,0.274,0.343,0.396,0.739,33634,1038,348,1354,,
1937,16,498,28.3,4.87,2478,96159,85963,12070,23769,4216,997,1430,0.577078289,11206,1021,337,8443,9001,0.277,0.343,0.399,0.742,34269,956,322,1420,,
1936,16,481,28.4,5.19,2476,97895,87638,12846,24863,4471,979,1364,0.55088853,11929,963,320,8418,8235,0.284,0.349,0.404,0.753,35384,1003,413,1415,,
1935,16,484,28.2,4.9,2456,96206,86437,12025,24074,4265,987,1325,0.539495114,11162,883,329,7834,8004,0.279,0.341,0.397,0.738,34288,910,382,1549,,
1934,16,487,28.5,4.91,2446,95570,85911,12001,23962,4314,882,1344,0.54946852,11219,909,315,7855,8432,0.279,0.342,0.397,0.738,34072,968,342,1455,,
1933,16,460,28.6,4.48,2452,94643,85222,10989,22969,3945,967,1067,0.435154976,10213,860,376,7344,7444,0.27,0.33,0.376,0.706,32049,1105,351,1698,,
1932,16,491,28.5,4.91,2466,96598,87182,12115,24106,4579,1072,1358,0.550689376,11287,990,410,7549,7878,0.277,0.337,0.4,0.737,34903,,367,1479,,
1931,16,492,28.4,4.81,2472,96128,86614,11891,24046,4508,1070,1069,0.432443366,11048,1088,452,7679,7894,0.278,0.339,0.391,0.731,33901,,381,1437,,
1930,16,493,28.2,5.55,2468,97261,86571,13695,25597,4756,1282,1565,0.634116694,12742,1080,423,7654,7934,0.296,0.356,0.434,0.79,37612,,408,2606,,
1929,16,510,28.4,5.19,2458,96359,85210,12748,24642,4482,1166,1349,0.548820179,11793,1334,509,7992,6982,0.289,0.353,0.417,0.77,35503,,407,2713,,
1928,16,505,28.4,4.73,2462,95643,84480,11650,23736,4223,1138,1093,0.44394801,10746,1268,484,7668,7099,0.281,0.344,0.397,0.741,33514,,454,2985,,
1927,16,512,28.9,4.75,2472,95597,84461,11746,23960,4148,1150,922,0.372977346,10757,1437,511,7447,6889,0.284,0.345,0.393,0.738,33174,,480,3183,,
1926,16,502,28.6,4.64,2468,95174,83762,11443,23505,4142,1157,863,0.349675851,10464,1275,500,7703,6777,0.281,0.345,0.389,0.733,32550,,484,3200,,
1925,16,526,28.6,5.13,2456,96278,85432,12595,24914,4337,1171,1169,0.475977199,11424,1388,1103,7744,6665,0.292,0.354,0.411,0.765,35100,,495,2555,,
1924,16,529,28.6,4.76,2462,95391,84670,11718,24271,4081,1175,896,0.363931763,10602,1501,1247,7364,6643,0.287,0.348,0.394,0.742,33390,,553,2704,,
1923,16,513,28.3,4.81,2466,96254,85232,11871,24218,3922,1142,980,0.397404704,10664,1567,1258,7563,7021,0.284,0.347,0.391,0.738,33364,,605,2733,,
1922,16,497,28.5,4.87,2476,96217,85346,12057,24613,3944,1248,1055,0.426090468,10808,1451,1165,7253,6950,0.288,0.348,0.401,0.749,34218,,598,2958,,
1921,16,492,28.1,4.85,2458,95658,85172,11928,24782,3981,1364,937,0.381204231,10709,1487,1317,6847,6959,0.291,0.348,0.403,0.75,34302,,551,2986,,
1920,16,495,28.1,4.36,2468,94704,84179,10761,23275,3609,1265,630,0.255267423,9345,1720,1563,6820,7247,0.276,0.335,0.372,0.707,31304,,561,3042,,
1919,16,479,28.2,3.88,2236,83984,74671,8668,19624,2922,1048,447,0.199910555,7420,2081,,5982,6849,0.263,0.322,0.348,0.67,25983,,531,2718,,
1918,16,489,28.1,3.63,2032,76036,67315,7385,17085,2323,885,235,0.115649606,6216,2003,,5749,5925,0.254,0.317,0.325,0.642,21883,,461,2446,,
1917,16,490,27.3,3.59,2494,92723,82055,8949,20391,2909,1138,335,0.134322374,7559,2413,,6910,8680,0.249,0.311,0.324,0.635,26581,,579,3079,,
1916,16,527,27.3,3.56,2494,92555,81923,8889,20285,2995,1141,383,0.153568565,7519,2753,836,7076,9534,0.248,0.312,0.326,0.638,26711,,640,2829,,
1915,24,733,27.4,3.81,3728,138303,121704,14213,30460,4532,1769,635,0.170332618,11980,4106,2046,11120,14020,0.25,0.318,0.332,0.65,40435,,1015,4441,,
1914,24,740,27.2,3.86,3760,139036,122587,14531,31129,4625,1739,710,0.188829787,12222,4573,1370,11143,14764,0.254,0.321,0.337,0.659,41362,,991,4188,,
1913,16,582,26.8,4.04,2468,91892,81216,9961,21021,3070,1265,470,0.190437601,8350,3250,1223,7267,9283,0.259,0.325,0.345,0.67,28031,,702,2541,,
1912,16,604,26.8,4.53,2464,93204,82039,11165,22039,3353,1355,442,0.179383117,9389,3398,1340,7683,9684,0.269,0.337,0.359,0.695,29428,,717,2765,,
1911,16,536,27.1,4.51,2474,93824,82258,11160,21914,3265,1323,514,0.207760711,9318,3403,,7838,9870,0.266,0.336,0.357,0.693,29367,,844,2884,,
1910,16,508,27.3,3.83,2498,92778,81548,9577,20332,2815,1160,361,0.144515612,7858,3265,,7419,9677,0.249,0.318,0.326,0.644,26550,,791,3020,,
1909,16,504,27.6,3.54,2482,90998,80613,8797,19657,2659,1003,259,0.10435133,7125,3055,,6505,9377,0.244,0.306,0.311,0.618,25099,,764,3116,,
1908,16,440,28.5,3.38,2488,90541,80680,8417,19279,2523,1001,267,0.107315113,6822,2722,,5860,9078,0.239,0.297,0.305,0.602,24605,,771,3230,,
1907,16,419,28.6,3.52,2466,89746,80304,8690,19701,2470,960,244,0.098945661,7075,2781,,6101,8836,0.245,0.305,0.309,0.614,24823,,739,2602,,
1906,16,412,28.6,3.61,2456,89657,80061,8874,19742,2632,1004,261,0.106270358,7256,2997,,6169,9110,0.247,0.306,0.314,0.621,25165,,728,2699,,
1905,16,390,28.6,3.89,2474,91352,81841,9635,20298,2858,1120,338,0.136620857,7936,2946,,6189,9523,0.248,0.307,0.323,0.63,26410,,818,2504,,
1904,16,364,28.5,3.72,2498,91064,82488,9302,20363,2851,1154,331,0.132506005,7591,2781,,5580,9299,0.247,0.301,0.321,0.622,26515,,777,2219,,
1903,16,368,28.4,4.44,2228,83549,75439,9888,19776,3034,1161,335,0.150359066,8144,2742,,5369,7899,0.262,0.317,0.346,0.664,26137,,729,2012,,
1902,16,390,28.3,4.44,2230,84273,76280,9897,20350,2832,983,354,0.158744395,8258,2684,,5442,6630,0.267,0.322,0.344,0.665,26210,,716,1835,,
1901,16,371,28.1,4.99,2220,85072,77105,11073,20957,2931,1238,455,0.204954955,9136,2851,,5465,6976,0.272,0.327,0.36,0.686,27729,,830,1672,,
1900,8,188,28.5,5.21,1138,43485,39132,5932,10925,1432,607,254,0.223198594,4924,1686,,3034,2681,0.279,0.339,0.366,0.705,14333,,513,806,,
1899,12,310,27.9,5.25,1842,70016,62846,9672,17741,2201,1011,352,0.191096634,7997,2668,,4979,3849,0.282,0.343,0.366,0.71,23020,,868,1323,,
1898,12,299,28.1,4.96,1842,69964,62661,9129,16955,2088,900,299,0.162323561,7630,2069,,5092,4223,0.271,0.334,0.347,0.681,21740,,865,1346,,
1897,12,263,28.1,5.89,1618,63272,56663,9536,16522,2322,964,368,0.227441286,8014,2705,,4729,3729,0.292,0.354,0.386,0.74,21876,,750,1130,,
1896,12,272,28.1,6.04,1584,62230,55577,9560,16141,2166,1006,404,0.255050505,8045,3059,,4854,3523,0.29,0.354,0.387,0.742,21531,,636,1163,,
1895,12,284,27.9,6.6,1592,63573,56788,10514,16827,2414,997,488,0.306532663,8806,2895,,5120,3621,0.296,0.361,0.4,0.761,22699,,668,997,,
1894,12,264,27.8,7.44,1586,65204,57578,11796,17809,2754,1300,629,0.396595208,9981,3148,,5868,3333,0.309,0.379,0.435,0.814,25050,,602,1156,,
1893,12,260,27.8,6.57,1570,63680,56898,10315,15913,2197,1047,460,0.292993631,8556,2752,,6143,3341,0.28,0.356,0.379,0.736,21584,,639,,,
1892,12,264,27.5,5.1,1842,70613,63874,9388,15643,2007,1010,417,0.226384365,7360,3201,,6178,5970,0.245,0.317,0.328,0.645,20921,,561,,,
1891,17,359,27.3,5.69,2222,86680,77660,12635,19709,2631,1269,585,0.263276328,9964,4165,,8035,7656,0.254,0.331,0.343,0.674,26633,,985,,,
1890,25,510,27,6.01,3216,126057,113015,19330,29406,4195,1891,760,0.236318408,14703,6854,,11701,6567,0.26,0.337,0.351,0.688,39663,,1341,,,
1889,16,322,26.9,5.96,2180,84553,76478,12986,20170,3015,1083,667,0.305963303,10227,4816,,7316,7669,0.264,0.334,0.358,0.692,27352,,759,,,
1888,16,332,26.8,4.87,2184,80990,75439,10628,18000,2451,1054,521,0.238553114,8036,5260,,4727,8213,0.239,0.291,0.32,0.611,24122,,824,,,
1887,16,316,26.7,6.34,2116,81534,74735,13417,20234,3088,1398,606,0.286389414,10393,6345,,6053,5924,0.271,0.332,0.374,0.705,27936,,746,,,
1886,16,325,26.8,5.47,2104,78790,72927,11512,17974,2679,1155,413,0.196292776,8239,3243,,5554,4248,0.246,0.303,0.332,0.634,24202,,309,,,
1885,16,321,26.6,5.22,1780,66588,62725,9292,15305,2193,965,323,0.181460674,6488,,,3530,3337,0.244,0.288,0.325,0.613,20397,,333,,,
1884,33,639,25.4,5.42,3088,114727,109312,16742,26593,4020,1537,689,0.223121762,--,,,4947,4335,0.243,0.279,0.327,0.606,35754,,468,,,
1883,16,258,26.4,5.75,1570,59996,57670,9030,14828,2487,946,238,0.151592357,--,,,2326,2877,0.257,0.286,0.345,0.631,19921,,,,,
1882,14,229,25.6,5.33,1144,43214,41622,6092,10333,1616,623,178,0.155594406,--,,,1592,2159,0.248,0.276,0.33,0.606,13729,,,,,
1881,8,120,25.7,5.1,672,25410,24377,3425,6339,1068,304,76,0.113095238,2488,,,1033,1784,0.26,0.29,0.338,0.628,8243,,,,,
1880,8,127,24.8,4.69,680,25041,24301,3191,5946,980,328,62,0.091176471,2223,,,740,1993,0.245,0.267,0.32,0.587,7768,,,,,
1879,8,119,24.7,5.31,642,24663,24155,3409,6171,958,317,58,0.090342679,2357,,,508,1843,0.255,0.271,0.329,0.599,7937,,,,,
1878,6,77,24.6,5.17,368,14008,13644,1904,3539,481,132,23,0.0625,1331,,,364,1081,0.259,0.279,0.319,0.598,4353,,,,,
1877,6,92,25.9,5.67,360,14012,13667,2040,3705,431,204,24,0.066666667,1410,,,345,726,0.271,0.289,0.338,0.627,4616,,,,,
1876,8,121,25.4,5.9,520,20457,20121,3066,5338,633,181,40,0.076923077,1984,,,336,589,0.265,0.277,0.321,0.598,6453,,,,,
1875,13,189,24.6,6.13,690,27041,26793,4233,6805,839,273,40,0.057971014,2706,629,319,248,673,0.254,0.261,0.31,0.571,8310,142,,,,
1874,8,120,24.9,7.48,464,19342,19104,3470,5224,634,194,40,0.086206897,2252,242,97,238,357,0.273,0.282,0.333,0.616,6366,107,,,,
1873,9,122,24.1,8.99,398,17294,16959,3580,4926,570,211,47,0.118090452,2331,314,131,335,278,0.29,0.304,0.357,0.661,6059,122,,,,
1872,11,143,23.6,9.26,366,15926,15663,3390,4467,581,145,37,0.101092896,2132,269,134,263,264,0.285,0.297,0.348,0.645,5449,97,,,,
1871,9,115,23.8,10.47,254,11215,10822,2659,3101,434,239,47,0.18503937,1783,441,123,393,175,0.287,0.312,0.384,0.695,4154,74,,,,
